name,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match
Lloyd Wilson,2.6,0.2,2.4,21.8
Luis Medina Cantalejo,5.6,0.0,1.8,
Manuel Enrique Mejuto Gonzalez,3.8,0.0,3.4,
Marcin Kochanek,0.6,0.0,3.0,20.8
Michael Pavlov,1.8,0.2,2.2,25.8
Paride Tremolada,1.8,0.2,2.0,24.2
Piero Maza,4.2,0.2,1.8,18.8
Piotr Rzucidlo,0.2,0.0,2.8,25.4
Ramy Touchan,0.0,0.0,3.8,30.4
Ryo Tanimoto,2.2,0.4,3.8,19.0
Sorin Dan Vadana,1.2,0.0,1.8,25.6
Srdan Jovanovic,0.6,0.0,3.2,20.2
Sultan Al-Harbi,0.2,0.2,3.0,21.6
Vlad Baban,1.8,0.2,3.8,21.4
Yael Falcon Perez,4.6,0.0,3.4,25.4
Yuri Elino Ferreira Da Cruz,1.6,0.0,2.0,30.6
Yusuke Ohashi,2.2,0.2,2.4,20.4
Afro Rocha De Carvalho Filho,4.25,0.25,1.25,32.0
Alejandro José Hernández Hernández,2.25,0.0,3.25,
Andres Matonte,3.75,0.25,2.0,17.2
Andres Rojas,7.0,0.25,1.25,23.0
Arda Kardesler,0.0,0.0,3.0,29.7
Arturo Daudén Ibáñez,3.75,0.25,3.25,
Balazs Berke,0.5,0.0,4.0,20.7
Bernardino Gonzalez,5.0,0.5,4.0,
Carlos Betancur,6.25,0.75,2.5,22.0
Cristian Garay,5.25,0.5,2.75,23.5
Dan McFarlane,1.5,0.25,4.0,31.0
Denislav Stalev,0.75,0.25,1.0,25.5
Derlis Lopez,5.25,0.25,2.25,28.5
Georgios Kokkinos,2.5,0.25,3.0,26.0
Gery Vargas,4.25,0.25,0.75,18.2
Giorgi Kruashvili,2.5,0.0,2.0,22.5
Goga Kikacheishvili,1.0,0.0,3.75,30.0
Grant Irvine,2.75,0.0,4.25,26.2
Gurcan Hasova,7.0,0.0,3.0,32.2
José Luis González González,3.0,0.5,3.25,
Juan Gabriel Benitez,2.0,0.25,1.75,28.0
Julian Rodriguez Santiago,2.75,0.25,3.75,
Julian Weinberger,0.5,0.0,2.5,24.3
Lucas Canetto Bellote,1.75,0.0,2.5,24.8
Manfredas Lukjancukas,1.25,0.0,3.0,24.2
Marco Fritz,4.25,0.25,1.75,26.7
Mario Melero López,4.25,0.0,4.25,26.3
Mikael Lesage,4.25,0.25,2.5,20.0
Morten Krogh,0.0,0.0,1.5,26.0
Mykola Balakin,1.75,0.0,2.75,24.7
Nabil Bensalah,1.5,0.0,1.75,28.8
Nenad Minaković,1.0,0.0,2.75,26.5
Ovidiu Robu,2.25,0.0,2.25,22.2
Panagiotis Koukoulas,1.25,0.25,1.75,31.0
Simon Mather,2.5,0.0,2.25,19.0
Thomas Parsons,2.75,0.0,2.75,26.5
Tomasz Marciniak,4.0,0.0,3.5,24.2
Zac Kennard-Kettle,3.5,0.0,3.0,14.5
Zulema Gonzalez Gonzalez,0.0,0.0,3.0,20.5
Abongile Tom,7.67,0.33,1.33,30.0
Alan Young,7.33,0.0,1.33,22.0
Alex Chilowicz,3.67,0.0,4.0,24.0
Alexis Herrera,4.33,0.0,2.67,22.0
Amin Mohamed Omar,1.67,0.33,2.33,19.3
Antonio Damato,6.0,0.0,3.67,
Augusto Bergelio Aragon Bautista,3.33,0.0,1.33,20.7
Beida Dahane,3.33,0.0,3.0,37.3
Carmine Russo,2.33,0.33,4.0,
Cheol-Jun Choi,4.33,0.0,2.0,28.0
Dario Herrera,3.67,0.33,1.67,20.3
David Rock,5.0,0.0,2.67,25.5
Eduardo Prieto Iglesias,3.67,0.0,2.67,
Enea Jorgji,0.33,0.0,2.33,25.5
Erdem Mertoglu,3.67,0.0,2.67,26.0
Esteban Ostojich,5.0,0.0,3.0,25.3
Facundo Raul Tello Figueroa,4.67,0.0,2.67,25.7
Felix Brych,3.67,0.0,2.67,26.0
Frank Schneider,4.33,0.33,1.33,
Giuseppe Mucera,2.33,0.33,3.0,26.0
Guido Winkmann,2.33,0.0,2.67,
Guillermo Enrique Guerrero Alcivar,2.67,0.0,1.33,24.0
Gustavo Ervino Bauermann,1.67,0.0,2.33,26.7
Gustavo Tejera,4.0,0.0,4.0,22.3
Hernan Heras,5.33,0.33,1.67,19.0
Hristiyana Guteva,2.67,0.0,1.33,24.3
Issa Sy,5.67,0.33,2.67,33.3
Jalal Jayed,3.67,0.0,1.67,30.0
Jérôme Miguelgorry,3.0,0.0,3.0,
Jesús Valenzuela,3.0,0.0,1.67,23.3
Johan Hamel,5.0,0.0,4.0,27.9
Jose Burgos,4.67,0.0,1.0,22.7
Jose Cabero Rebolledo,2.33,0.33,1.67,16.7
Juxhin Xhaja,1.67,0.0,2.67,22.3
Kevin Ortega,5.33,0.0,2.67,27.0
Kristo Tohver,0.0,0.0,3.33,23.5
Lucas Guimarães Rechatiko Horn,4.33,0.67,2.0,31.7
Matej Jug,0.0,0.0,2.0,26.7
Mateusz Jenda,2.0,0.33,2.67,29.0
Matthew Russell,1.0,0.33,3.67,27.5
Mohammad Al-Emara,2.33,0.0,4.0,21.7
Ndala Ngambo,2.67,0.0,1.33,22.5
Neil Hair,2.33,0.33,2.67,21.0
Omar Abdulkadir Artan,2.67,0.0,4.0,26.3
Orel Grinfeeld,0.0,0.0,1.67,28.0
Pedro Jesús Pérez Montero,4.33,0.0,2.67,
Piero Giacomelli,1.67,0.0,3.67,28.49
Pierre Ghislain Atcho,4.33,0.0,2.0,26.7
Resat Onur Coskunses,5.33,0.0,1.0,27.3
Robert Hennessy,1.0,0.0,1.33,22.0
Ross Joyce,2.67,0.0,1.67,20.0
Saïd Ennjimi,2.67,0.0,3.0,
Sang-Hyeop Chae,5.0,0.67,1.67,23.7
Scott Oldham,2.67,0.33,2.33,25.0
Stan Teuben,0.67,0.0,2.33,22.0
Tae-Hwan Seol,4.33,0.0,2.67,23.7
Vicente José Lizondo Cortés,5.0,0.0,3.33,
Wilmar Roldan,3.33,0.67,1.67,18.3
Xavier Estrada Fernández,3.67,0.0,2.67,
Aaron Bannister,7.0,0.5,2.5,35.0
Aaron Farmer,6.0,0.0,2.0,36.0
"Abatti Abel, Ramon",5.5,0.0,3.0,34.5
Abdel Aziz Mohamed Bouh,2.5,0.0,3.5,23.0
Abdou Abdel Mefire,6.5,0.0,3.0,36.0
Abdulsamad Ali Bakri,5.0,0.0,3.0,30.5
Ahmad Imetehaz Heeralall,1.0,0.0,1.5,25.0
Albert Rozycki,3.0,0.0,3.0,20.0
Alexandre Perreau Niel,3.5,0.0,4.5,30.5
Alfonso Álvarez Izquierdo,4.0,0.0,1.5,
"Al-Hakim, Mohammed",1.0,0.0,4.5,28.0
Ali Mahmood Mahmood Ismail,3.5,0.0,3.0,38.5
"Alshamrani, Majed Mohammed",4.5,0.0,3.5,20.5
Andrea Calzavara,5.0,0.0,0.5,34.5
Antoine Valnet,3.0,0.0,1.0,26.0
Antony Gautier,3.5,0.5,2.0,24.0
Augusto Menendez,4.0,0.0,3.0,31.5
Aurelien Petit,3.5,0.0,2.5,25.0
"Barrott, Samuel",5.0,0.0,2.0,23.5
Bartolomeu Varela Teles,4.5,0.0,2.0,
"Bonacina, Kevin",2.5,0.0,4.0,23.0
Boubou Traore,4.5,0.0,3.0,32.0
"Bourdeaud'hui, Simon",5.5,0.0,2.5,27.5
"Branco Godinho, Luis Miguel",5.5,0.0,3.5,25.0
Bryan Loayza,4.0,0.0,1.5,22.0
"Buquet, Ruddy",2.5,0.0,4.0,25.5
"Cakir, Oguzhan",3.0,0.0,1.5,25.5
Carl Brook,4.0,1.0,3.0,19.0
Carlos del Cerro Grande,5.5,0.0,3.5,25.0
Carlos Ortega,7.5,0.0,2.0,25.5
Carlos P. Benitez,6.0,0.0,3.5,26.5
Christian-Petru Ciochirca,0.0,0.0,2.5,
"Cibelli, Luca",8.0,0.0,2.5,28.0
"Claus, Raphael",2.5,0.0,1.5,19.0
Colin Steven,3.5,0.0,5.5,22.0
"Coskunses, Resat Onur",3.5,0.5,4.0,26.5
Damian Krumplewski,8.0,0.0,2.5,26.0
Daniel Laryea,3.5,0.0,0.5,47.0
Daniel McFarlane,4.5,0.0,2.5,28.5
"Da Silva, Alexis",8.0,0.0,2.0,28.0
"De Ena Wolf, Alonso",5.5,0.5,3.0,21.0
Denis da Silva Ribeiro Serafim,4.0,0.0,1.5,32.0
"de Oliveira Lacerda, Davi",7.0,0.5,2.5,25.5
"Dickerson, Joseph",3.5,0.5,5.5,19.0
Domenico Celi,4.5,0.0,3.0,
Dong Jun Lee,5.0,0.0,2.0,29.0
"Doveri, Daniele",3.0,0.0,3.5,23.0
"Dujic, Filip",3.5,0.5,3.0,29.0
"Elfath, Ismail",3.5,0.0,2.5,25.5
"England, Darren",5.5,0.0,5.0,25.5
"Ergun, Ozan",7.0,0.0,3.5,32.5
Federico Dionisi,0.0,0.0,4.0,29.0
"Fernandes de Lima, Felipe",6.5,1.5,1.5,37.0
Fernando Andre Vejar Diaz,5.5,0.5,1.5,23.0
Filip Glova,0.0,0.0,2.5,22.0
Fredy Fautrel,3.5,0.0,4.5,
"Freemon, Jon",3.5,0.0,2.5,28.0
"Fukushima, Koichiro",1.5,0.0,1.0,21.0
Geoffrey Kubler,2.5,0.5,1.0,26.5
Gianluca Rocchi,2.5,0.0,1.5,
"Gillett, Jarred",4.0,0.0,2.0,22.5
"Gonzales Jr, Guido",6.0,0.0,4.0,21.5
"Gozubuyuk, Serdar",4.0,0.0,2.0,19.5
Greg Dopka,0.0,0.0,2.0,30.5
Günter Perl,2.5,0.0,3.0,
Hakim Ben El Hadj Salem,5.5,0.0,2.5,29.6
"Hernandez Maeso, Francisco Jose",5.0,0.0,1.5,28.0
Iuliana Elena Demetrescu,0.5,0.0,4.5,17.0
Ivano Pezzuto,2.0,0.5,0.5,33.5
James Durkin,5.5,0.0,3.0,
Jhon Alexander Ospina Londono,4.5,0.5,2.0,22.5
Jochen Drees,3.0,0.0,2.0,
Jodis Nascimento de Souza,6.5,0.0,3.5,23.5
"Jones, Robert",3.0,0.0,3.0,19.5
Joshua Encarnacion,2.5,0.5,2.5,34.0
"Kamimura, Atsushi",1.5,0.0,4.5,15.0
Karol Wójcik,2.0,0.0,1.5,30.0
Katja Koroleva,0.0,0.0,2.5,21.0
"Kavanagh, Christopher",6.5,0.0,3.5,18.5
Keigo Sendachi,4.5,0.0,1.0,24.5
Kirill Levnikov,1.5,0.0,5.0,17.0
Kleber Ariel Goncalves Silva,4.0,0.0,2.0,31.0
"Klein, Rafael Rodrigo",3.5,0.5,4.5,23.0
"Klitte, Fredrik",3.5,0.0,3.5,26.5
"Kol, Yasin",5.5,0.0,2.5,30.0
"Kovacs, Szabolcs",3.0,0.0,2.0,19.5
"Koya, Koei",1.5,0.0,4.0,18.5
"Kwiatkowski, Tomasz",5.5,0.5,1.5,23.5
Kyriakos Athanasiou,3.0,0.0,1.5,33.0
"Laforge, Nicolas",5.0,0.5,5.0,20.0
"Lambrechts, Erik",4.5,0.0,2.0,25.0
Leandro Rey Hilfer,2.0,0.0,1.0,19.0
Lee Swabey,2.0,0.0,3.5,21.0
"Letellier, Anthony",1.5,0.0,3.5,22.5
Luca Massimi,6.0,0.0,2.0,26.0
Maciej Pelka,3.0,0.0,3.0,28.5
"Makkelie, Danny",1.5,0.0,3.0,21.5
Mario Perri,2.0,0.5,3.0,28.5
Martin Coy,2.5,0.0,4.5,19.0
Massimiliano Irrati,2.5,0.0,3.0,29.5
Mateusz Stepniak,1.5,0.0,1.5,13.0
"Meler, Halil Umut",6.0,0.5,1.5,23.5
"Mikuriya, Takafumi",2.5,0.5,1.5,22.0
Milos Milanovic,2.5,0.0,3.0,22.0
Mohamed Al Smaail,2.0,0.5,1.5,21.5
Mohamed Maarouf Eid Mansour,3.5,0.5,1.5,34.5
Mustapha Ghorbal,3.5,0.0,3.5,29.0
"Nagamine, Koki",2.5,0.0,4.0,21.0
Natalie Simon,0.0,0.0,4.5,24.5
Nicolas Ramirez,5.0,0.0,2.5,22.0
"Nield, Tom",5.5,0.0,3.0,22.0
"Ohashi, Yusuke",2.5,0.0,2.5,25.0
Oleksiy Derevinskyi,2.0,0.0,3.5,17.0
Oliver Mackey,3.5,0.0,1.5,26.0
Oliver Yates,4.0,0.0,2.5,26.0
Omer Faruk Turtay,2.0,0.0,1.5,26.0
Pacifique Ndabihawenimana,4.5,0.0,2.5,23.5
Paolo Silvio Mazzoleni,2.5,0.0,2.0,
Paul Howard,1.0,0.0,2.5,25.5
Paulo Schleich Vollkopf,4.0,0.0,0.0,28.0
Paweł Szuta,7.5,0.0,2.0,22.0
"Pawson, Craig",3.0,0.0,3.0,18.5
"Peinado Aguirre, Yonatan",4.5,1.0,3.5,22.5
"Pereira Sampaio, Wilton",5.0,0.0,2.5,32.0
Peter Sippel,1.5,0.0,3.5,
Peter Waweru,7.0,0.0,2.5,34.0
Piotr Szypula,1.0,0.0,0.5,24.0
Piotr Urban,4.0,0.0,5.0,24.0
"Planes Terol, Maria Gloria",3.0,0.0,4.0,22.0
Puentes Leira,5.0,0.0,2.0,
Raed Ali Al-Zahrani,5.0,0.0,1.0,28.5
Razvan Neagra,1.0,0.0,3.0,23.0
Richard Eley,3.5,0.0,3.0,23.0
Roberto Perez Gutierrez,3.5,0.0,2.0,23.0
Samuel Uwikunda,4.0,0.5,2.0,31.5
"Sanchez Villalobos, Jose Antonio",6.5,0.0,3.5,26.0
Scott Jackson,2.0,0.0,3.5,27.0
Sebastian Stockbridge,3.0,0.0,2.5,23.0
"Sozza, Simone",3.5,0.0,2.0,19.5
Stephen Parkinson,4.0,0.0,4.5,17.0
"Sundell, Richard",3.5,0.0,3.5,22.0
"Sutani, Yuzo",1.5,0.0,2.0,20.5
Tamas Bognar,2.5,0.0,4.0,24.0
"Tanimoto, Ryo",2.5,0.0,1.5,21.5
"Taylor, Anthony",6.0,0.0,2.0,24.0
"Turkmen, Mehmet",1.5,0.0,1.5,27.0
"Turpin, Clement",4.0,0.0,5.0,25.0
"Vazquez, Rubiel",4.5,0.5,3.0,21.5
"Vergoote, Jasper",4.0,0.5,4.5,23.5
"Visser, Lawrence",2.0,0.0,3.5,24.0
Vitalijs Spasjonnikovs,2.5,0.0,1.5,
"von Mandach, Johannes",3.5,0.0,4.5,20.0
Wim Smet,3.5,0.0,1.0,26.5
Woo-Sung Kim,4.0,0.0,3.0,25.0
"Yamashita, Yoshimi",2.0,0.5,2.5,20.5
Abdou Ndiaye,0.0,0.0,0.0,27.0
Abdulla Ali Al-Marri,2.0,0.0,4.0,25.0
Abdullah Bugra Taskinsoy,8.0,0.0,2.0,29.0
Abigail Byrne,6.0,0.0,5.0,
"Abu Shaqara, Mohammed Nasser",3.0,0.0,4.0,24.0
"Aganovic, Adi",5.0,0.0,2.0,16.0
Ahmed Taleb,7.0,1.0,1.0,28.0
"Ai, Kun",4.0,0.0,3.0,25.0
"Ais Reig, Saul",3.0,0.0,6.0,25.0
"Aksu, Oguzhan",4.0,0.0,4.0,16.0
Alan Wiley,3.0,0.0,2.0,
"Alberola Rojas, Javier",3.0,0.0,3.0,29.0
Alejandro Clemente Ortuno,2.0,0.0,2.0,
Aleksander Koziel,0.0,1.0,8.0,35.0
Alexandre Aleman Perez,4.0,1.0,5.0,
Alfredo Ramo Andres,9.0,0.0,4.0,
Alhadi Allaou Mahamat,4.0,1.0,0.0,30.0
"Al-Harbi, Abdullah",4.0,0.0,2.0,28.0
"Alhunfush, Shukri",3.0,0.0,2.0,20.0
Alireza Faghani,0.0,0.0,6.0,27.0
Alisson Sidnei Furtado,8.0,0.0,3.0,31.0
"Allaerts, Michiel",2.0,0.0,3.0,18.0
"Allison, Sam",4.0,0.0,4.0,24.0
"Al-Owaidan, Abdullah",4.0,0.0,1.0,27.0
"Al-Qahtani, Ali",2.0,0.0,2.0,18.0
"Al-Rumaikhani, Ahmed Mohammed",3.0,0.0,2.0,25.0
"Alturais, Khalid Saleh",2.0,0.0,4.0,28.0
"Al-Turais, Khalid Saleh",5.0,0.0,2.0,17.0
Alvaro Canovas Garcia Villarubia,4.0,0.0,2.0,
Alvaro Rodriguez Recio,5.0,0.0,4.0,
Alyssa Pennington,0.0,0.0,1.0,28.0
Amaury Delerue,7.0,0.0,5.0,24.6
Andrea Gervasoni,5.0,0.0,3.0,
Andrea Zanotti,1.0,0.0,3.0,26.0
Andre Luiz Skettino Policarpo Bento,0.0,0.0,2.0,40.0
Andrew Humphries,6.0,0.0,5.0,19.0
Andrew Miller,2.0,0.0,2.0,
Angel Hernandez Lorenzo,0.0,0.0,6.0,25.0
Angelo Cervellera,2.0,0.0,4.0,
"Angoula, Gael",4.0,0.0,3.0,22.0
Ante Culina,0.0,0.0,3.0,
Anthony Diaz,1.0,1.0,2.0,22.0
Antoni Bandić,0.0,0.0,1.0,
Antonio Sanchez Sanchez,3.0,0.0,1.0,21.0
"Aragon Bautista, Augusto Bergelio",3.0,2.0,2.0,21.0
"Arasa, Nazareno",5.0,0.0,4.0,21.0
"Arcediano Monescillo, Damaso",6.0,2.0,1.0,35.0
Arnaud Baert,3.0,0.0,0.0,23.0
"Arreguin, Elijio",2.0,0.0,0.0,25.0
"Arslan, Yigit",4.0,1.0,4.0,22.0
Arthur Gomes Rabelo,6.0,0.0,2.0,28.0
"Arys, Karol",0.0,0.0,1.0,18.0
Asen Albayrak,6.0,0.0,4.0,26.0
Assad Nouhoum,5.0,0.0,2.0,28.0
Atsushi Kamimura,0.0,0.0,1.0,14.0
"Attwell, Stuart",7.0,0.0,3.0,20.0
"Ayroldi, Giovanni",4.0,0.0,2.0,26.0
"Aytekin, Deniz",6.0,0.0,3.0,18.0
"Azevedo Malheiro, Helder Miguel",8.0,0.0,5.0,35.0
"Backhouse, Anthony",1.0,0.0,2.0,13.0
"Badstubner, Florian",4.0,0.0,1.0,30.0
"Bastien, Benoit",5.0,0.0,3.0,30.0
"Bauermann, Gustavo Ervino",7.0,0.0,1.0,38.0
"Bazakos, Fotis",3.0,0.0,2.0,24.0
Ben Atkinson,4.0,0.0,4.0,31.0
Bence Csonka,0.0,0.0,1.0,
"Benitez, Carlos P.",7.0,0.0,6.0,24.0
"Benitez, Juan Gabriel",3.0,0.0,0.0,19.0
Benjamin Lepaysant,3.0,0.0,3.0,28.0
"Benkenstein Pinheiro, Jonathan",1.0,0.0,2.0,27.0
Ben McMaster,0.0,0.0,1.0,
Bernd Heynemann,4.0,0.0,2.0,
"Bestard Servera, Luis",5.0,0.0,6.0,15.0
"Betancur, Carlos",5.0,0.0,5.0,18.0
Blazej Syropiatko,2.0,0.0,2.0,0.0
"Boiko, Serhii",4.0,0.0,5.0,21.0
"Bollengier, Marc",3.0,0.0,4.0,18.0
"Bos, Alex",2.0,1.0,2.0,25.0
"Boterberg, Jan",6.0,1.0,3.0,21.0
"Bramall, Thomas",7.0,0.0,4.0,23.0
Brandon Stevis,4.0,0.0,4.0,39.0
"Braun, Robin",1.0,0.0,4.0,29.0
Brendan Roffet,0.0,1.0,4.0,13.0
"Brooks, John",6.0,0.0,2.0,28.0
Bruno Mota Correia,4.0,0.0,2.0,41.0
"Busquets Ferrer, Mateo",6.0,0.0,0.0,27.0
"Caceres Hernandez, Victor Alfonso",3.0,0.0,1.0,19.0
"Calin, Iulian",4.0,0.0,2.0,31.0
"Calvo Valentin, Elisabet",3.0,0.0,4.0,25.0
"Calzavara, Andrea",3.0,0.0,1.0,29.0
"Candancan, Matheus Delgado",7.0,0.0,3.0,32.0
Carly Shaw MacLaren,2.0,0.0,2.0,
"Carvalho, Helder",6.0,0.0,3.0,30.0
"Casagrande, Lucas",7.0,0.0,1.0,42.0
"Chae, Sang-Hyeop",5.0,0.0,5.0,22.0
"Chapman, Allen",7.0,0.0,1.0,19.0
Charles Breakspear,3.0,0.0,8.0,
"Chinkov, Volen Valentinov",2.0,0.0,2.0,21.0
"Choi, Cheol-Jun",8.0,0.0,7.0,24.0
"Choi, Hyun-Jae",5.0,0.0,1.0,35.0
Chrysovalantis Theouli,0.0,0.0,5.0,
"Clancy, Kevin",3.0,0.0,5.0,25.0
Claudio Gavillucci,6.0,0.0,4.0,
Clement Franklin Kpan,3.0,0.0,0.0,26.0
"Cordero Vega, Adrian",0.0,0.0,3.0,13.0
"Costa Verissimo, Fabio Jose",5.0,0.0,4.0,24.0
Craig Hicks,0.0,0.0,4.0,26.0
"Crezzini, Valerio",3.0,0.0,0.0,25.0
Cristian Ballweg,3.0,0.0,7.0,21.0
"Cuesta Arribas, Beatriz",2.0,0.0,4.0,12.0
"Dabanovic, Nikola",3.0,0.0,3.0,17.0
Dalibor Cerny,0.0,0.0,1.0,
Daniel Elder,0.0,0.0,1.0,18.0
Daniele Orsato,7.0,0.0,0.0,26.5
Daniele Perenzoni,0.0,0.0,4.0,27.0
Daniel Miranda Bolano,6.0,0.0,0.0,
Danilo Nikolic,0.0,0.0,4.0,
Daniyar Sakhi,0.0,0.0,5.0,
"Dankert, Bastian",2.0,0.0,2.0,16.0
Dario Bel,0.0,0.0,4.0,
"Daronco, Anderson",4.0,0.0,3.0,26.0
Darren Drysdale,3.0,0.0,4.0,17.0
"da Silva Machado, Braulio",6.0,0.0,2.0,27.0
David Lopez Jimenez,3.0,0.0,4.0,
David Roome,4.0,0.0,1.0,31.0
Dawid Wisniewski,0.0,0.0,3.0,
"De Armas, Mathias",4.0,0.0,2.0,19.0
"De Burgos Bengoechea, Ricardo",3.0,0.0,4.0,28.0
"De Carvalho Filho, Afro Rocha",10.0,0.0,3.0,32.0
Declan Brown,4.0,0.0,6.0,
"De Cremer, Wesli",5.0,0.0,6.0,25.0
"Delajod, Willy",5.0,0.0,2.0,21.0
"Del Mar, Lorena",5.0,0.0,3.0,24.0
"Demianchuk, Sergii",2.0,0.0,2.0,17.0
Derlis Benitez,4.0,1.0,2.0,15.0
"D Hondt, Lothar",5.0,0.0,2.0,18.0
"Diaz, Anthony",5.0,1.0,2.0,28.0
"Diaz de Mera Escuderos, Isidro",4.0,0.0,3.0,19.0
"Di Bello, Marco",3.0,0.0,2.0,26.0
"Dickinson, David",4.0,0.0,2.0,23.0
Diego Da Costa Cidral,7.0,0.0,3.0,32.0
"Dieperink, Rob",5.0,0.0,1.0,36.0
"Dimitrov, Dimitar",3.0,0.0,3.0,24.0
"Dingert, Christian",1.0,0.0,2.0,18.0
Direnc Tonusluoglu,0.0,0.0,3.0,28.0
Djindo Louis Houngnandande,3.0,1.0,4.0,20.0
"Domingues da Silva Narciso, Andre Filipe",10.0,1.0,1.0,40.0
"do Nascimento Magalhaes, Wagner",6.0,1.0,6.0,0.0
"Donohue, Matt",5.0,0.0,0.0,18.0
"Doughty, Leigh",2.0,0.0,1.0,13.0
"Drmic, Marijan",3.0,0.0,3.0,20.0
Duje Strukan,5.0,0.0,5.0,
Dumitri Muntean,9.0,0.0,3.0,7.0
Eddy Rosier,1.0,0.0,4.0,25.0
Edwin Van de Graaf,3.0,0.0,2.0,24.0
Eldorjan Hamiti,0.0,0.0,1.0,
Elliott Swallow,7.0,1.0,3.0,
Eric-Dominic Weisbach,4.0,0.0,0.0,24.0
"Espinosa Rios, Alicia",1.0,0.0,2.0,21.0
"Espinoza, Jordi",4.0,0.0,0.0,26.0
"Fabbri, Michael",3.0,0.0,0.0,21.0
Fabienne Michel,5.0,0.0,5.0,29.0
"Fahndrich, Lukas",1.0,0.0,2.0,20.0
"Falcon Perez, Yael",2.0,0.0,1.0,20.0
Faouzi Benchabane,5.0,0.0,3.0,30.0
Fatih Tokail,9.0,1.0,3.0,42.0
Federico Javier Saiz de Villares,12.0,0.0,2.0,
Felix Bickel,2.0,0.0,4.0,29.0
Felix Prigan,7.0,0.0,1.0,29.0
Felix Wagner,8.0,2.0,2.0,40.0
Felix Weller,2.0,1.0,2.0,34.0
"Fernandes Correia, Gustavo",4.0,1.0,4.0,34.0
"Fernandes Macedo, Carlos Andre",2.0,1.0,1.0,30.0
"Fernandez Firvida, Andrea",4.0,0.0,4.0,12.0
"Finnie, Will",0.0,0.0,4.0,18.0
"Fischer, Drew",6.0,0.0,5.0,25.0
Florent Batta,6.0,0.0,3.0,28.0
Florian Lechner,6.0,0.0,2.0,23.0
Florian Meyer,2.0,0.0,2.0,
Francisco Jose Ortega Herrera,11.0,0.0,2.0,
"Frankowski, Bartosz",2.0,0.0,2.0,17.0
"Frappart, Stephanie",6.0,0.0,6.0,18.0
"Fuentes Molina, Andres",6.0,1.0,2.0,28.0
"Garay, Cristian",2.0,0.0,2.0,19.0
"García, Katia",4.0,0.0,0.0,16.0
Georgi Minev,0.0,0.0,1.0,23.0
"Gerach, Timo",3.0,0.0,3.0,17.0
Gerasimos Germanakos,3.0,0.0,3.0,
"Gianforte, Nico",10.0,0.0,3.0,33.0
"Gidzhenov, Radoslav",3.0,0.0,0.0,
"Gil Manzano, Jesus",7.0,0.0,2.0,34.0
"Gil Soriano, Maria Eugenia",0.0,0.0,2.0,9.0
"Ginchev, Georgi",5.0,0.0,1.0,31.0
Giovanni Baccini,0.0,0.0,3.0,35.0
"Gobi, Joao Vitor",3.0,0.0,1.0,
"Goncalves Rodrigues, Anzhony Francisco",6.0,0.0,2.0,24.0
"Gonzalez Esteban, Jon Ander",3.0,0.0,3.0,24.0
"Gonzalez, Raquel Suarez",5.0,0.0,2.0,22.0
"Grebencharski, Marian",8.0,0.0,1.0,
"Gryckiewicz, Patryk",2.0,1.0,2.0,25.0
"Guerrero Alcivar, Guillermo Enrique",6.0,1.0,0.0,27.0
Guillermo Conejero Sanchez,1.0,0.0,3.0,
Guillermo Cueto Amigo,7.0,0.0,0.0,
"Guteva, Hristiyana",3.0,1.0,2.0,28.0
"Guzman Mansilla, Jose Luis",10.0,1.0,6.0,26.0
Hajrim Qovanaj,4.0,0.0,5.0,18.0
"Hallam, Farai",4.0,0.0,2.0,20.0
"Hartmann, Robert",3.0,0.0,3.0,16.0
"Hasova, Gurcan",5.0,0.0,2.0,31.0
Henrik Nalbandyan,0.0,0.0,3.0,
Herbert Fandel,4.0,0.0,3.0,
"Herczeg, Adam",3.0,0.0,6.0,18.0
"Hernandez Andrade, Karen",1.0,0.0,3.0,15.0
"Hernandez Gomez, Fernando",4.0,0.0,1.0,24.0
"Hernandez Hernandez, Alejandro Jose",4.0,0.0,6.0,21.0
"Hernandez, Lorenzo",2.0,0.0,4.0,36.0
"Herrera Hernandez, Alexis Adrian",5.0,0.0,3.0,29.0
Howard Webb,3.0,0.0,2.0,
"Huerta de Aza, Marta",3.0,0.0,1.0,24.0
"Huitron, Daniel Quintero",7.0,0.0,5.0,28.0
Huseyin Sanli,1.0,0.0,3.0,17.0
Hyun Jae Choi,5.0,0.0,5.0,30.0
Ian McNabb,0.0,0.0,4.0,15.0
Igor Stojcevski,0.0,0.0,4.0,
"Iida, Jumpei",5.0,1.0,4.0,24.0
"Ikeuchi, Akihiko",4.0,0.0,2.0,21.0
Ionela Alina Pesu,0.0,0.0,2.0,27.0
Isaac Searle,5.0,0.0,3.0,
Ishmael Barbara,0.0,0.0,3.0,
Iván Barton,6.0,0.0,1.0,25.0
Ivar Orri Kristjansson,0.0,0.0,4.0,
Ivo Nigel Mendez Chavez,1.0,0.0,2.0,16.0
Iwan Arwel Griffith,1.0,0.0,0.0,13.0
"Jablonski, Sven",2.0,0.0,4.0,16.0
Jacek Malyszek,2.0,0.0,1.0,25.0
Jack Taylor,0.0,0.0,2.0,
Jacob A. Sundberg,0.0,0.0,3.0,
Jacob Karlsen,0.0,0.0,1.0,
Jakob Kehlet,0.0,0.0,1.0,26.0
James Oldham,5.0,0.0,2.0,25.0
Jamie O'Connor,5.0,1.0,4.0,
Jarno Wienefeld,4.0,0.0,5.0,24.0
